"FMS_Temp","CYCLE","Bottle","DateTime","CO2_Samp","CO2_Samp_stdv","O2_Samp","O2_Samp_stdv","FlowRate_Samp","FlowRate_Samp_stdv","CO2_BG","CO2_BG_stdv","O2_BG","O2_BG_stdv","FlowRate_BG","FlowRate_BG_stdv"
25.214,35,10,"2023-10-30 16:28:55",0.51362,0.000382390143992006,20.8130272727273,0.000674948557709326,47.27,0.0483045891539621,0.059203,0.000206023191790525,20.95,0.000259499648054158,47.09,0.0316227766016842
25.18,36,1,"2023-10-30 17:10:04",0.006814,0.000131165713677182,21.8634575757576,0.000412351391454548,47.2,0,0.053773,9.29814796373756e-05,20.95,0.00048269724776213,47.2,0
25.174,36,2,"2023-10-30 17:18:34",0.050013,0.000157624730152204,21.7801818181818,0.000475670712006919,47.19,0.0316227766016842,0.053544,5.66078125742764e-05,20.95,0.000269679944985414,47.1,0
25.15,36,3,"2023-10-30 17:27:04",0.037983,8.24688493378632e-05,21.7507121212122,0.00039907299991284,47.19,0.0316227766016842,0.053485,7.18408735408414e-05,20.95,0.000474252912396953,47.1,0
25.147,36,4,"2023-10-30 17:35:34",0.28151,0.000772370089759789,21.4828090909092,0.00123050453641278,47.25,0.05270462766947,0.053368,0.000102176318195558,20.95,0.000467099366497792,47.1,0
25.14,36,5,"2023-10-30 17:44:04",0.31499,0.000655659125528572,21.4895212121211,0.000469973851269616,47.26,0.0516397779494293,0.054052,0.000111435083244809,20.95,0.000368818296762141,47.1,0
25.17,36,6,"2023-10-30 17:52:34",0.39055,0.000994708220758461,21.4922787878787,0.000501848435140291,47.29,0.031622776601682,0.054234,0.00010543033508225,20.95,0.000424819232700006,47.1,0
25.15,36,8,"2023-10-30 18:09:34",1.43976,0.00227801082818614,20.7353999999999,0.00134989711542474,47.58,0.042163702135579,0.054939,0.000174512018051607,20.95,4.43101245979224e-15,47.1,0
25.18,36,9,"2023-10-30 18:18:04",1.33031,0.00230865521221527,20.7958757575757,0.00155017105605627,47.53,0.0483045891539655,0.057779,0.000238628022942263,20.95,0.000379615258002522,47.1,0
25.17,36,10,"2023-10-30 18:29:04",0.5135,0.000365148371670121,20.8355000000001,0.000527046276696872,47.3,0,0.057874,0.000248381427110268,20.95,2.368475785867e-15,47.16,0.051639777949433
25.14,37,1,"2023-10-30 19:10:13",0.006651,7.6514341429855e-05,21.8674696969697,0.000611065195703058,47.26,0.0516397779494293,0.053053,0.000131406916780578,20.95,0.000415199436886325,47.2,0
25.128,37,2,"2023-10-30 19:18:43",0.048823,9.86632882304479e-05,21.7816090909091,0.000380058475033935,47.29,0.031622776601682,0.052859,6.50555318341345e-05,20.95,0.000359573259979558,47.19,0.0316227766016842
